time,algorithm,allocatedBytes,freeBytes,requiredBytes,externalFragments,percentMemoryInUse,percentMemoryFree,percentInternalFragmentation
3520,FF,0,40000,0,1,0,100,0
3520,NF,0,40000,0,1,0,100,0
3520,BF,0,40000,0,1,0,100,0
3520,WF,0,40000,0,1,0,100,0
3540,FF,0,40000,0,1,0,100,0
3540,NF,0,40000,0,1,0,100,0
3540,BF,0,40000,0,1,0,100,0
3540,WF,0,40000,0,1,0,100,0
3560,FF,0,40000,0,1,0,100,0
3560,NF,0,40000,0,1,0,100,0
3560,BF,0,40000,0,1,0,100,0
3560,WF,0,40000,0,1,0,100,0
3580,FF,0,40000,0,1,0,100,0
3580,NF,0,40000,0,1,0,100,0
3580,BF,0,40000,0,1,0,100,0
3580,WF,0,40000,0,1,0,100,0
3600,FF,0,40000,0,1,0,100,0
3600,NF,0,40000,0,1,0,100,0
3600,BF,0,40000,0,1,0,100,0
3600,WF,0,40000,0,1,0,100,0
3620,FF,0,40000,0,1,0,100,0
3620,NF,0,40000,0,1,0,100,0
3620,BF,0,40000,0,1,0,100,0
3620,WF,0,40000,0,1,0,100,0
3640,FF,0,40000,0,1,0,100,0
3640,NF,0,40000,0,1,0,100,0
3640,BF,0,40000,0,1,0,100,0
3640,WF,0,40000,0,1,0,100,0
3660,FF,0,40000,0,1,0,100,0
3660,NF,0,40000,0,1,0,100,0
3660,BF,0,40000,0,1,0,100,0
3660,WF,0,40000,0,1,0,100,0
3680,FF,0,40000,0,1,0,100,0
3680,NF,0,40000,0,1,0,100,0
3680,BF,0,40000,0,1,0,100,0
3680,WF,0,40000,0,1,0,100,0
3700,FF,0,40000,0,1,0,100,0
3700,NF,0,40000,0,1,0,100,0
3700,BF,0,40000,0,1,0,100,0
3700,WF,0,40000,0,1,0,100,0
3720,FF,0,40000,0,1,0,100,0
3720,NF,0,40000,0,1,0,100,0
3720,BF,0,40000,0,1,0,100,0
3720,WF,0,40000,0,1,0,100,0
3740,FF,0,40000,0,1,0,100,0
3740,NF,0,40000,0,1,0,100,0
3740,BF,0,40000,0,1,0,100,0
3740,WF,0,40000,0,1,0,100,0
3760,FF,0,40000,0,1,0,100,0
3760,NF,0,40000,0,1,0,100,0
3760,BF,0,40000,0,1,0,100,0
3760,WF,0,40000,0,1,0,100,0
3780,FF,0,40000,0,1,0,100,0
3780,NF,0,40000,0,1,0,100,0
3780,BF,0,40000,0,1,0,100,0
3780,WF,0,40000,0,1,0,100,0
3800,FF,0,40000,0,1,0,100,0
3800,NF,0,40000,0,1,0,100,0
3800,BF,0,40000,0,1,0,100,0
3800,WF,0,40000,0,1,0,100,0
3820,FF,0,40000,0,1,0,100,0
3820,NF,0,40000,0,1,0,100,0
3820,BF,0,40000,0,1,0,100,0
3820,WF,0,40000,0,1,0,100,0
3840,FF,0,40000,0,1,0,100,0
3840,NF,0,40000,0,1,0,100,0
3840,BF,0,40000,0,1,0,100,0
3840,WF,0,40000,0,1,0,100,0
3860,FF,0,40000,0,1,0,100,0
3860,NF,0,40000,0,1,0,100,0
3860,BF,0,40000,0,1,0,100,0
3860,WF,0,40000,0,1,0,100,0
3880,FF,0,40000,0,1,0,100,0
3880,NF,0,40000,0,1,0,100,0
3880,BF,0,40000,0,1,0,100,0
3880,WF,0,40000,0,1,0,100,0
3900,FF,0,40000,0,1,0,100,0
3900,NF,0,40000,0,1,0,100,0
3900,BF,0,40000,0,1,0,100,0
3900,WF,0,40000,0,1,0,100,0
3920,FF,0,40000,0,1,0,100,0
3920,NF,0,40000,0,1,0,100,0
3920,BF,0,40000,0,1,0,100,0
3920,WF,0,40000,0,1,0,100,0
3940,FF,0,40000,0,1,0,100,0
3940,NF,0,40000,0,1,0,100,0
3940,BF,0,40000,0,1,0,100,0
3940,WF,0,40000,0,1,0,100,0
3960,FF,0,40000,0,1,0,100,0
3960,NF,0,40000,0,1,0,100,0
3960,BF,0,40000,0,1,0,100,0
3960,WF,0,40000,0,1,0,100,0
3980,FF,0,40000,0,1,0,100,0
3980,NF,0,40000,0,1,0,100,0
3980,BF,0,40000,0,1,0,100,0
3980,WF,0,40000,0,1,0,100,0
4000,FF,0,40000,0,1,0,100,0
4000,NF,0,40000,0,1,0,100,0
4000,BF,0,40000,0,1,0,100,0
4000,WF,0,40000,0,1,0,100,0
4020,FF,0,40000,0,1,0,100,0
4020,NF,0,40000,0,1,0,100,0
4020,BF,0,40000,0,1,0,100,0
4020,WF,0,40000,0,1,0,100,0
4040,FF,0,40000,0,1,0,100,0
4040,NF,0,40000,0,1,0,100,0
4040,BF,0,40000,0,1,0,100,0
4040,WF,0,40000,0,1,0,100,0
4060,FF,0,40000,0,1,0,100,0
4060,NF,0,40000,0,1,0,100,0
4060,BF,0,40000,0,1,0,100,0
4060,WF,0,40000,0,1,0,100,0
4080,FF,0,40000,0,1,0,100,0
4080,NF,0,40000,0,1,0,100,0
4080,BF,0,40000,0,1,0,100,0
4080,WF,0,40000,0,1,0,100,0
4100,FF,0,40000,0,1,0,100,0
4100,NF,0,40000,0,1,0,100,0
4100,BF,0,40000,0,1,0,100,0
4100,WF,0,40000,0,1,0,100,0
4120,FF,0,40000,0,1,0,100,0
4120,NF,0,40000,0,1,0,100,0
4120,BF,0,40000,0,1,0,100,0
4120,WF,0,40000,0,1,0,100,0
4140,FF,0,40000,0,1,0,100,0
4140,NF,0,40000,0,1,0,100,0
4140,BF,0,40000,0,1,0,100,0
4140,WF,0,40000,0,1,0,100,0
4160,FF,0,40000,0,1,0,100,0
4160,NF,0,40000,0,1,0,100,0
4160,BF,0,40000,0,1,0,100,0
4160,WF,0,40000,0,1,0,100,0
4180,FF,0,40000,0,1,0,100,0
4180,NF,0,40000,0,1,0,100,0
4180,BF,0,40000,0,1,0,100,0
4180,WF,0,40000,0,1,0,100,0
4200,FF,0,40000,0,1,0,100,0
4200,NF,0,40000,0,1,0,100,0
4200,BF,0,40000,0,1,0,100,0
4200,WF,0,40000,0,1,0,100,0
4220,FF,0,40000,0,1,0,100,0
4220,NF,0,40000,0,1,0,100,0
4220,BF,0,40000,0,1,0,100,0
4220,WF,0,40000,0,1,0,100,0
4240,FF,0,40000,0,1,0,100,0
4240,NF,0,40000,0,1,0,100,0
4240,BF,0,40000,0,1,0,100,0
4240,WF,0,40000,0,1,0,100,0
4260,FF,0,40000,0,1,0,100,0
4260,NF,0,40000,0,1,0,100,0
4260,BF,0,40000,0,1,0,100,0
4260,WF,0,40000,0,1,0,100,0
4280,FF,0,40000,0,1,0,100,0
4280,NF,0,40000,0,1,0,100,0
4280,BF,0,40000,0,1,0,100,0
4280,WF,0,40000,0,1,0,100,0
4300,FF,0,40000,0,1,0,100,0
4300,NF,0,40000,0,1,0,100,0
4300,BF,0,40000,0,1,0,100,0
4300,WF,0,40000,0,1,0,100,0
4320,FF,0,40000,0,1,0,100,0
4320,NF,0,40000,0,1,0,100,0
4320,BF,0,40000,0,1,0,100,0
4320,WF,0,40000,0,1,0,100,0
4340,FF,0,40000,0,1,0,100,0
4340,NF,0,40000,0,1,0,100,0
4340,BF,0,40000,0,1,0,100,0
4340,WF,0,40000,0,1,0,100,0
4360,FF,0,40000,0,1,0,100,0
4360,NF,0,40000,0,1,0,100,0
4360,BF,0,40000,0,1,0,100,0
4360,WF,0,40000,0,1,0,100,0
4380,FF,0,40000,0,1,0,100,0
4380,NF,0,40000,0,1,0,100,0
4380,BF,0,40000,0,1,0,100,0
4380,WF,0,40000,0,1,0,100,0
4400,FF,0,40000,0,1,0,100,0
4400,NF,0,40000,0,1,0,100,0
4400,BF,0,40000,0,1,0,100,0
4400,WF,0,40000,0,1,0,100,0
4420,FF,0,40000,0,1,0,100,0
4420,NF,0,40000,0,1,0,100,0
4420,BF,0,40000,0,1,0,100,0
4420,WF,0,40000,0,1,0,100,0
4440,FF,0,40000,0,1,0,100,0
4440,NF,0,40000,0,1,0,100,0
4440,BF,0,40000,0,1,0,100,0
4440,WF,0,40000,0,1,0,100,0
4460,FF,0,40000,0,1,0,100,0
4460,NF,0,40000,0,1,0,100,0
4460,BF,0,40000,0,1,0,100,0
4460,WF,0,40000,0,1,0,100,0
4480,FF,0,40000,0,1,0,100,0
4480,NF,0,40000,0,1,0,100,0
4480,BF,0,40000,0,1,0,100,0
4480,WF,0,40000,0,1,0,100,0
4500,FF,0,40000,0,1,0,100,0
4500,NF,0,40000,0,1,0,100,0
4500,BF,0,40000,0,1,0,100,0
4500,WF,0,40000,0,1,0,100,0
4520,FF,0,40000,0,1,0,100,0
4520,NF,0,40000,0,1,0,100,0
4520,BF,0,40000,0,1,0,100,0
4520,WF,0,40000,0,1,0,100,0
4540,FF,0,40000,0,1,0,100,0
4540,NF,0,40000,0,1,0,100,0
4540,BF,0,40000,0,1,0,100,0
4540,WF,0,40000,0,1,0,100,0
4560,FF,0,40000,0,1,0,100,0
4560,NF,0,40000,0,1,0,100,0
4560,BF,0,40000,0,1,0,100,0
4560,WF,0,40000,0,1,0,100,0
4580,FF,0,40000,0,1,0,100,0
4580,NF,0,40000,0,1,0,100,0
4580,BF,0,40000,0,1,0,100,0
4580,WF,0,40000,0,1,0,100,0
4600,FF,0,40000,0,1,0,100,0
4600,NF,0,40000,0,1,0,100,0
4600,BF,0,40000,0,1,0,100,0
4600,WF,0,40000,0,1,0,100,0
4620,FF,0,40000,0,1,0,100,0
4620,NF,0,40000,0,1,0,100,0
4620,BF,0,40000,0,1,0,100,0
4620,WF,0,40000,0,1,0,100,0
4640,FF,0,40000,0,1,0,100,0
4640,NF,0,40000,0,1,0,100,0
4640,BF,0,40000,0,1,0,100,0
4640,WF,0,40000,0,1,0,100,0
4660,FF,0,40000,0,1,0,100,0
4660,NF,0,40000,0,1,0,100,0
4660,BF,0,40000,0,1,0,100,0
4660,WF,0,40000,0,1,0,100,0
4680,FF,0,40000,0,1,0,100,0
4680,NF,0,40000,0,1,0,100,0
4680,BF,0,40000,0,1,0,100,0
4680,WF,0,40000,0,1,0,100,0
4700,FF,0,40000,0,1,0,100,0
4700,NF,0,40000,0,1,0,100,0
4700,BF,0,40000,0,1,0,100,0
4700,WF,0,40000,0,1,0,100,0
4720,FF,0,40000,0,1,0,100,0
4720,NF,0,40000,0,1,0,100,0
4720,BF,0,40000,0,1,0,100,0
4720,WF,0,40000,0,1,0,100,0
4740,FF,0,40000,0,1,0,100,0
4740,NF,0,40000,0,1,0,100,0
4740,BF,0,40000,0,1,0,100,0
4740,WF,0,40000,0,1,0,100,0
4760,FF,0,40000,0,1,0,100,0
4760,NF,0,40000,0,1,0,100,0
4760,BF,0,40000,0,1,0,100,0
4760,WF,0,40000,0,1,0,100,0
4780,FF,0,40000,0,1,0,100,0
4780,NF,0,40000,0,1,0,100,0
4780,BF,0,40000,0,1,0,100,0
4780,WF,0,40000,0,1,0,100,0
4800,FF,0,40000,0,1,0,100,0
4800,NF,0,40000,0,1,0,100,0
4800,BF,0,40000,0,1,0,100,0
4800,WF,0,40000,0,1,0,100,0
4820,FF,0,40000,0,1,0,100,0
4820,NF,0,40000,0,1,0,100,0
4820,BF,0,40000,0,1,0,100,0
4820,WF,0,40000,0,1,0,100,0
4840,FF,0,40000,0,1,0,100,0
4840,NF,0,40000,0,1,0,100,0
4840,BF,0,40000,0,1,0,100,0
4840,WF,0,40000,0,1,0,100,0
4860,FF,0,40000,0,1,0,100,0
4860,NF,0,40000,0,1,0,100,0
4860,BF,0,40000,0,1,0,100,0
4860,WF,0,40000,0,1,0,100,0
4880,FF,0,40000,0,1,0,100,0
4880,NF,0,40000,0,1,0,100,0
4880,BF,0,40000,0,1,0,100,0
4880,WF,0,40000,0,1,0,100,0
4900,FF,0,40000,0,1,0,100,0
4900,NF,0,40000,0,1,0,100,0
4900,BF,0,40000,0,1,0,100,0
4900,WF,0,40000,0,1,0,100,0
4920,FF,0,40000,0,1,0,100,0
4920,NF,0,40000,0,1,0,100,0
4920,BF,0,40000,0,1,0,100,0
4920,WF,0,40000,0,1,0,100,0
4940,FF,0,40000,0,1,0,100,0
4940,NF,0,40000,0,1,0,100,0
4940,BF,0,40000,0,1,0,100,0
4940,WF,0,40000,0,1,0,100,0
4960,FF,0,40000,0,1,0,100,0
4960,NF,0,40000,0,1,0,100,0
4960,BF,0,40000,0,1,0,100,0
4960,WF,0,40000,0,1,0,100,0
4980,FF,0,40000,0,1,0,100,0
4980,NF,0,40000,0,1,0,100,0
4980,BF,0,40000,0,1,0,100,0
4980,WF,0,40000,0,1,0,100,0
5000,FF,0,40000,0,1,0,100,0
5000,NF,0,40000,0,1,0,100,0
5000,BF,0,40000,0,1,0,100,0
5000,WF,0,40000,0,1,0,100,0
5020,FF,0,40000,0,1,0,100,0
5020,NF,0,40000,0,1,0,100,0
5020,BF,0,40000,0,1,0,100,0
5020,WF,0,40000,0,1,0,100,0
5040,FF,0,40000,0,1,0,100,0
5040,NF,0,40000,0,1,0,100,0
5040,BF,0,40000,0,1,0,100,0
5040,WF,0,40000,0,1,0,100,0
5060,FF,0,40000,0,1,0,100,0
5060,NF,0,40000,0,1,0,100,0
5060,BF,0,40000,0,1,0,100,0
5060,WF,0,40000,0,1,0,100,0
5080,FF,0,40000,0,1,0,100,0
5080,NF,0,40000,0,1,0,100,0
5080,BF,0,40000,0,1,0,100,0
5080,WF,0,40000,0,1,0,100,0
5100,FF,0,40000,0,1,0,100,0
5100,NF,0,40000,0,1,0,100,0
5100,BF,0,40000,0,1,0,100,0
5100,WF,0,40000,0,1,0,100,0
5120,FF,0,40000,0,1,0,100,0
5120,NF,0,40000,0,1,0,100,0
5120,BF,0,40000,0,1,0,100,0
5120,WF,0,40000,0,1,0,100,0
5140,FF,0,40000,0,1,0,100,0
5140,NF,0,40000,0,1,0,100,0
5140,BF,0,40000,0,1,0,100,0
5140,WF,0,40000,0,1,0,100,0
5160,FF,0,40000,0,1,0,100,0
5160,NF,0,40000,0,1,0,100,0
5160,BF,0,40000,0,1,0,100,0
5160,WF,0,40000,0,1,0,100,0
5180,FF,0,40000,0,1,0,100,0
5180,NF,0,40000,0,1,0,100,0
5180,BF,0,40000,0,1,0,100,0
5180,WF,0,40000,0,1,0,100,0
5200,FF,0,40000,0,1,0,100,0
5200,NF,0,40000,0,1,0,100,0
5200,BF,0,40000,0,1,0,100,0
5200,WF,0,40000,0,1,0,100,0
5220,FF,0,40000,0,1,0,100,0
5220,NF,0,40000,0,1,0,100,0
5220,BF,0,40000,0,1,0,100,0
5220,WF,0,40000,0,1,0,100,0
5240,FF,0,40000,0,1,0,100,0
5240,NF,0,40000,0,1,0,100,0
5240,BF,0,40000,0,1,0,100,0
5240,WF,0,40000,0,1,0,100,0
5260,FF,0,40000,0,1,0,100,0
5260,NF,0,40000,0,1,0,100,0
5260,BF,0,40000,0,1,0,100,0
5260,WF,0,40000,0,1,0,100,0
